Date,Exchange_Close,Exchange_High,Exchange_Low,Exchange_Open,Brent_Close,Brent_High,Brent_Low,Brent_Open,Brent_Volume,Exchange_Change,Brent_Range,Year,Exchange_Return,Rolling_Volatility,Brent_Return,Brent_Return_Lag1
2010-01-04,147.5399932861328,149.64999389648438,147.5399932861328,148.5500030517578,80.12000274658203,79.81999969482422,80.12000274658203,80.12000274658203,97,-1.010009765625,-0.3000030517578125,2010,,,,
2010-01-05,149.10000610351562,149.25,147.44000244140625,149.25,80.58999633789062,80.26000213623047,80.58999633789062,80.58999633789062,97,-0.149993896484375,-0.32999420166015625,2010,0.010573491177794603,,0.0058661205091963264,
2010-01-06,149.0500030517578,150.3000030517578,146.94000244140625,147.61000061035156,81.88999938964844,81.69999694824219,80.12999725341797,81.12999725341797,7,1.44000244140625,1.5699996948242188,2010,-0.00033536585989868417,,0.016131072227715038,0.0058661205091963264
2010-01-07,149.0,149.35000610351562,146.22000122070312,146.22000122070312,81.51000213623047,81.51000213623047,81.62999725341797,81.51000213623047,7,2.779998779296875,-0.1199951171875,2010,-0.0003354783678900519,,-0.004640337724388877,0.016131072227715038
2010-01-08,149.89999389648438,149.89999389648438,147.3000030517578,147.3000030517578,81.37000274658203,81.52999877929688,81.08999633789062,81.37000274658203,7,2.5999908447265625,0.44000244140625,2010,0.00604022749318367,,-0.001717573131877148,-0.004640337724388877
2010-01-11,150.89999389648438,150.89999389648438,148.47999572753906,148.47999572753906,80.97000122070312,81.70999908447266,81.01000213623047,80.97000122070312,7,2.4199981689453125,0.6999969482421875,2010,0.006671114347680085,,-0.004915835226461329,-0.001717573131877148
2010-01-12,150.39999389648438,150.75,148.3699951171875,150.5,79.30000305175781,79.30000305175781,79.02999877929688,79.30000305175781,7,-0.100006103515625,0.2700042724609375,2010,-0.0033134527516481826,,-0.020624899885987813,-0.004915835226461329
2010-01-13,151.25,151.25,148.5,150.5,78.30999755859375,79.0199966430664,77.25,78.52999877929688,18,0.75,1.7699966430664062,2010,0.005651636555920714,,-0.012484305864627787,-0.020624899885987813
2010-01-14,149.35000610351562,151.25999450683594,149.22999572753906,150.8000030517578,77.81999969482422,78.47000122070312,78.01000213623047,77.81999969482422,6,-1.4499969482421875,0.45999908447265625,2010,-0.012561943117252117,,-0.006257155906599254,-0.012484305864627787
2010-01-15,151.10000610351562,151.3000030517578,149.2100067138672,151.3000030517578,77.11000061035156,77.81999969482422,76.87999725341797,77.55000305175781,4,-0.1999969482421875,0.94000244140625,2010,0.011717441770889847,,-0.0091236068781414,-0.006257155906599254
